             , nationality   , gender_identity  , age     , education_level                      , visit_type                   , visit_purpose                                                          , religious   , visited_memorial_before     , personal_connection_nazi_history, personal_connection_details                                , knowledge_ww2      , known_persecuted_groups_open                                                                                                                          , technologies_used                                            , videogame_frequency
1740485052155, Germany       , Female           , 35–44   , Vocational training or apprenticeship, As an adult with other adults, To learn more about the history                                        , No          , "Yes, more than once before", No                              ,                                                            , 4.More than average,                                                                                                                                                       ,                                                              , Invalid
1741184451124, Germany       , Male             , 16–18   ,                                      ,                              , For research                                                           , No          , No                          , No                              ,                                                            , 1.Not at all       , SS                                                                                                                                                    , Augmented Reality (AR)                                       , Invalid
1742382663419,               , Female           , 35–44   ,                                      ,                              ,                                                                        ,             ,                             ,                                 ,                                                            , 3.Somewhat         ,                                                                                                                                                       ,                                                              , Invalid
1745743282955,               , Female           , 65–74   , Master's degree                      , As an adult with other adults, For commemoration                                                      , I don't know,                             ,                                 ,                                                            ,                    ,                                                                                                                                                       ,                                                              , Invalid
1745221120980, Germany       , Male             , 35–44   , Bachelor's degree                    , As an adult with children    , To learn more about the history                                        , Yes         , No                          , Yes                             , Prefer not to say                                          , 4.More than average, Jews__Homosexuals__Political opponents__Sinti and Roma                                                                                                , 3D model viewer                                              , 0
1738079834487, Germany       , Male             , 16–18   , High school                          , Alone                        , To learn more about the history                                        , Yes         ,                             ,                                 ,                                                            , 3.Somewhat         ,                                                                                                                                                       ,                                                              , Invalid
1741608923750, Germany       , Male             , 16–18   , Secondary school                     ,                              ,                                                                        ,             ,                             ,                                 ,                                                            , 3.Somewhat         ,                                                                                                                                                       ,                                                              , Invalid
1744364206249, Germany       , Other            , 85+     , Bachelor's degree                    , As a student with my group   ,                                                                        , I don't know,                             ,                                 ,                                                            , 3.Somewhat         ,                                                                                                                                                       ,                                                              , Invalid
1742034589664, Czech Republic, Male             , 45–54   , Master's degree                      , As an adult with other adults, To learn more about the history                                        , No          , "Yes, more than once before", Yes                             , Relatives were persecuted                                  , 5.Very much        , Jews__Homosexuals__Jehovah's Witnesses__Sinti and Roma__Disabled people                                                                               ,                                                              , 3
1743257040650, Germany       , Male             , 35–44   , Vocational training or apprenticeship, As an adult with children    , To learn more about the history                                        , I don't know, "Yes, more than once before", No                              ,                                                            , 4.More than average,                                                                                                                                                       , Virtual Reality (VR)                                         , 20
1747128556212, Germany       , Male             , 65–74   , Secondary school                     , As an adult with other adults, To learn more about the history                                        , Yes         , No                          , No                              ,                                                            , 3.Somewhat         ,                                                                                                                                                       ,                                                              , 0
1744710776977, Germany       , Male             , 55–64   , High school                          , As an adult with other adults, For commemoration                                                      , Yes         , "Yes, more than once before", No                              ,                                                            , 4.More than average, Sinti and Roma__Jews__Disabled people__Communists__Homosexuals                                                                                        , 3D model viewer                                              , 0
1742802569909, Germany       , Female           , 18–24   ,                                      , Other                        , To learn more about the history                                        , Yes         , No                          , No                              ,                                                            , 4.More than average, Jews__Homosexuals                                                                                                                                     , 3D model viewer                                              , 2
1747056067914,               ,                  ,         ,                                      ,                              ,                                                                        ,             ,                             , Yes                             ,                                                            ,                    ,                                                                                                                                                       ,                                                              , Invalid
1732916839015,               , Female           , 16–18   , Secondary school                     ,                              ,                                                                        ,             ,                             ,                                 ,                                                            , 3.Somewhat         ,                                                                                                                                                       ,                                                              , Invalid
1745394912485,               , Female           , 55–64   , Master's degree                      , Alone                        , For commemoration                                                      , Yes         , "Yes, more than once before", no                              ,                                                            , 4.More than average,                                                                                                                                                       , 3D model viewer                                              , Invalid
1744036099283, Germany       , Female           , 35–44   , Vocational training or apprenticeship, As an adult with children    , To learn more about the history                                        , No          , "Yes, once before"          , No                              ,                                                            , 4.More than average, SS                                                                                                                                                    , Virtual Reality (VR)                                         , 5
1742305218387, Germany       , Female           , 16–18   , High school                          , Alone                        , To learn more about the history                                        , Yes         , No                          , Yes                             , Relatives were perpetrators                                , 5.Very much        , Homosexuals__Jews__Sinti and Roma__Political opponents                                                                                                , Virtual Reality (VR)                                         , 1
1733841657117, Germany       , Male             , 55–64   , Vocational training or apprenticeship, As an adult with other adults, To learn more about the history                                        , No          , "Yes, more than once before", No                              ,                                                            , 4.More than average,                                                                                                                                                       , 3D model viewer                                              , Invalid
1733918799224, Spam          , Female           , 16–18   ,                                      , As a student with my group   , Other                                                                  , Yes         ,                             ,                                 ,                                                            , 3.Somewhat         ,                                                                                                                                                       ,                                                              , Invalid
1741266735332, Germany       , Male             , 25–34   , Bachelor's degree                    , As an adult with other adults, To learn more about the history                                        , No          , No                          , No                              ,                                                            , 3.Somewhat         ,                                                                                                                                                       ,                                                              , 8
1744113542871,               ,                  ,         , Vocational training or apprenticeship,                              ,                                                                        ,             ,                             ,                                 ,                                                            , 3.Somewhat         ,                                                                                                                                                       ,                                                              , Invalid
1738062752656, Germany       , Male             , 55–64   , Master's degree                      , Alone                        , To learn more about the history                                        , I don't know, "Yes, once before"          , No                              ,                                                            , 4.More than average,                                                                                                                                                       ,                                                              , Invalid
1742211966048, Turkey        , Female           , Under 16, High school                          , As a student with my group   , To learn more about the history                                        , Yes         , "Yes, once before"          , No                              ,                                                            , 3.Somewhat         , Jews__Homosexuals__Political opponents                                                                                                                ,                                                              , Invalid
1741519038062, Germany       , Male             , 25–34   , Bachelor's degree                    , Other                        , To learn more about the history                                        , No          , No                          , No                              ,                                                            , 4.More than average,                                                                                                                                                       , 3D model viewer                                              , 20
1741261534233, Germany       , Male             , Under 16,                                      , As a student with my group   , To learn more about the history__For commemoration                     , Yes         , No                          , No                              ,                                                            , 4.More than average, Jews__Homosexuals__Political opponents                                                                                                                , 3D model viewer                                              , 1
1742394112883, Germany       , Male             , 25–34   , Vocational training or apprenticeship, As a student with my group   , To learn more about the history                                        , I don't know, "Yes, once before"          , Yes                             , Relatives were persecuted                                  , 3.Somewhat         , SS__SA__Political opponents                                                                                                                           , Augmented Reality (AR)__Virtual Reality (VR)__3D model viewer, 1
